縁談 えんだん
大便 だいべん
やっ付ける やっつける
躓く つまずく
断面 だんめん
大人しい おとなしい
伝説 でんせつ
盛大 せいだい
禅 ぜん
如何しても どうしても
叶える かなえる
今日は こんにちは
枚 まい
頻りに しきりに
園 えん
問屋 といや
恰度 ちょうど
過密 かみつ
不況 ふきょう
融通 ゆうずう
貴族 きぞく
従って したがって
他方 たほう
お使い おつかい
周期 しゅうき
巧み たくみ
埋め込む うめこむ
排水 はいすい
治安 ちあん
役職 やくしょく
手掛ける てがける
卯 ぼう
脂肪 しぼう
済みません すみません
明々後日 しあさって
仕入れる しいれる
在庫 ざいこ
貧乏 びんぼう
武力 ぶりょく
正解 せいかい
度々 たびたび
孤立 こりつ
軸 じく
この間 このあいだ
作 さく
退学 たいがく
お供 おとも
誘惑 ゆうわく
下心 したごころ
振興 しんこう
明かす あかす
見すぼらしい みすぼらしい
口述 こうじゅつ
退職 たいしょく
水源 すいげん
尽きる つきる
弾力 だんりょく
即する そくする
姓名 せいめい
現われ あらわれ
収支 しゅうし
与党 よとう
転じる てんじる
非 ひ
間もなく まもなく
一律 いちりつ
衝撃 しょうげき
煌びやか きらびやか
組み合わせ くみあわせ
落ち葉 おちば
改定 かいてい
向上 こうじょう
市 いち
適応 てきおう
雑談 ざつだん
定まる さだまる
脱退 だったい
改悪 かいあく
目蓋 まぶた
受かる うかる
略語 りゃくご
権力 けんりょく
気軽 きがる
当て あて
継ぐ つぐ
定める さだめる
接触 せっしょく
対話 たいわ
名札 なふだ
万 ばん
取り除く とりのぞく
甚だ はなはだ
好意 こうい
砂利 じゃり
沿岸 えんがん
何時でも いつでも
侍 さむらい
賑わう にぎわう
準急 じゅんきゅう
慣れ なれ
教材 きょうざい
歪む いがむ
お産 おさん
絶版 ぜっぱん
合意 ごうい
隔たる へだたる
冒頭 ぼうとう
球根 きゅうこん
過疎 かそ
壇 だん
株式 かぶしき
興じる きょうじる
鼾 いびき
切実 せつじつ
心強い こころづよい
日々 ひび
没落 ぼつらく
付き つき
結晶 けっしょう
構想 こうそう
転回 てんかい
野生 やせい
交付 こうふ
滅亡 めつぼう
兵士 へいし
同感 どうかん
弱める よわめる
講読 こうどく
秘書 ひしょ
見通し みとおし
お邪魔します おじゃまします
頂 いただき
鉄鋼 てっこう
亜科 あか
吊り革 つりかわ
救援 きゅうえん
補強 ほきょう
行き成り いきなり
真に まことに
待遇 たいぐう
初耳 はつみみ
再発 さいはつ
乙 おつ
精密 せいみつ
尽くす つくす
独裁 どくさい
逆転 ぎゃくてん
訪れる おとずれる
不良 ふりょう
付録 ふろく
状 じょう
国境 くにざかい
番目 ばんめ
垢 あか
手際 てぎわ
交渉 こうしょう
爆弾 ばくだん
一人 いちにん
咎める とがめる
像 ぞう
案の定 あんのじょう
指示 しじ
当てはまる あてはまる
尚 なお
図々しい ずうずうしい
原作 げんさく
弱る よわる
金槌 かなづち
年頃 としごろ
指差す ゆびさす
元素 げんそ
勝る まさる
